L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,order_bias,selection_role,selection_score
52,280,0.4671115794702984,0.5,-0.0328410765002136,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__943b74fa75,-0.0033010395958311,0.0232034509520265,0.25,False,0.8451449651056547,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2464806801524185,0.3,0,0.42,0.08,180,0.3850544503950217,0.0,20,0.7044295168619112,3.516693730071176e-18,0.2,fixed,ablation,-0.0346527523231138,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0044287134552533,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.4142135623730907
52,280,0.4671115794702984,0.5,-0.0328410765002136,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__943b74fa75,-0.0033010395958311,0.0232034509520265,0.25,False,0.8451449651056547,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2464806801524185,0.3,0,0.42,0.08,180,0.3850544503950217,0.0,20,0.7044295168619112,3.516693730071176e-18,0.2,fixed,ablation,-0.0346527523231138,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0044287134552533,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.7022151601342846
52,280,0.4351091343940438,0.5,-0.0377334633617701,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__2a813be7fe,-0.0174084977940085,-0.0210240743545958,0.25,False,0.836113231521971,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2442993769974866,0.3,0,0.42,0.08,180,0.3891369049522261,0.0,20,0.4495680425901995,3.292477226764537e-18,0.2,fixed,ablation,-0.0071141503876888,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0047917742523283,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,-0.0071141503876888
52,280,0.4671115794702984,0.5,-0.0328410765002136,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__8897672dcf,-0.0033010395958311,0.0232034509520265,0.25,True,0.8451449651056547,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2464806801524185,0.3,0,0.42,0.08,180,0.3850544503950217,0.0,20,0.7044295168619112,3.516693730071176e-18,0.2,fixed,ablation,-0.0346527523231138,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0044287134552533,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.4142135623730907
52,280,0.4671115794702984,0.5,-0.0328410765002136,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__8897672dcf,-0.0033010395958311,0.0232034509520265,0.25,True,0.8451449651056547,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2464806801524185,0.3,0,0.42,0.08,180,0.3850544503950217,0.0,20,0.7044295168619112,3.516693730071176e-18,0.2,fixed,ablation,-0.0346527523231138,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.0044287134552533,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.7022151601342846
52,280,0.4351091343940438,0.5,-0.0377334633617701,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__7ca817d195,-0.0174084977940085,-0.0210240743545958,0.25,True,0.836113231521971,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2442993769974866,0.3,0,0.42,0.08,180,0.3891369049522261,0.0,20,0.4495680425901995,3.292477226764537e-18,0.2,fixed,ablation,-0.0071141503876888,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0047917742523283,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,-0.0071141503876888
52,280,0.4297914310777536,0.5,-0.0385256725685425,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__65c47d0bc1,-0.0117044142892233,-0.0094005140189474,0.25,False,0.8264637896693161,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2476139701199081,0.3,0,0.42,0.08,180,0.382684922621719,0.3,20,0.4006816650434009,3.2824166148938357e-18,0.2,fixed,ablation,-0.0051779515797098,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0038565873013586,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.4142135623730945
52,280,0.4651389164346744,0.5,-0.0249503481386374,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s2__3273c65aca,0.0030851601865171,0.0304796358008342,0.25,False,0.8406788299268584,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2478059044970154,0.3,0,0.42,0.08,180,0.379834020801113,0.3,20,0.7063731860154091,3.384984163346547e-18,0.2,fixed,ablation,-0.0275297331942258,False,alpha_async,40,170,230,2,-1,1.0,0.6,0.6,80,0.005285554458597,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.7037304087861106
52,280,0.4297914310777536,0.5,-0.0385256725685425,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__65c47d0bc1,-0.0117044142892233,-0.0094005140189474,0.25,False,0.8264637896693161,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2476139701199081,0.3,0,0.42,0.08,180,0.382684922621719,0.3,20,0.4006816650434009,3.2824166148938357e-18,0.2,fixed,ablation,-0.0051779515797098,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0038565873013586,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,high_repair,-0.0051779515797098
52,280,0.4297914310777536,0.5,-0.0385256725685425,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__88fe29b380,-0.0117044142892233,-0.0094005140189474,0.25,True,0.8264637896693161,0.002,0.016,markov,0.68,extended_hex_r2,40,90,0.9,0.2476139701199081,0.3,0,0.42,0.08,180,0.382684922621719,0.3,20,0.4006816650434009,3.2824166148938357e-18,0.2,fixed,ablation,-0.0051779515797098,False,alpha_async,40,170,230,1,-1,1.0,0.6,0.6,80,0.0038565873013586,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.4142135623730945
