L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
44,220,0.4196205599478442,0.5,-0.3933410084406061,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__baseline__s1__ba60de3f58,-0.009557964946486,-0.002444389742495,0.25,False,0.4857744616392233,0.002,0.006,markov,0.58,square_moore,30,70,0.9,0.5205404065496639,0.3,0,0.42,0.08,140,0.4133336066023952,0.2,10,1.5453727957706995,5.7794639321502274e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.1119287786725178,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.42215145783538,0.5,-0.3879369382982979,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__baseline__s2__df6740586c,-0.009116210109508,0.0003113576830157,0.25,False,0.4745350754695171,0.002,0.006,markov,0.68,square_moore,30,70,0.9,0.52403910494305,0.3,0,0.42,0.08,140,0.4149683748500651,0.3,10,1.5376031259411858,3.805485271434567e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0877545308883474,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.2815072048473274,0.5,0.1354469044989648,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__lesion__s2__908b1fad1a,0.1149124195805651,0.0941729418570118,0.25,False,0.4083004291819462,0.002,0.006,markov,0.62,square_moore,30,70,0.9,0.3007440469209346,0.3,0,0.42,0.08,140,0.2194418734112079,0.4,10,1.5257724468816958,7.740321293533866e-18,0.2,plastic,calibration,0.0710516901838751,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0745064043997138,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4174826319027632,0.5,-0.3765292968705342,0.0,0.125,0.3046897748178897,square_moore__ql__plastic__intr0__struct0__alpha_async__baseline__s2__fd239ba14c,-0.0023807181681279,-0.0080815096843763,0.25,False,0.5295426988147315,0.002,0.006,ql,0.62,square_moore,30,70,0.9,0.4973847746668812,0.3,0,0.42,0.08,140,0.4119914049254857,0.2,10,1.507169600063364,4.9200152228014325e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.3426984441245221,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4046613125427503,0.5,-0.2855602091686242,0.0,0.125,0.3283815189344639,square_moore__ql__plastic__intr0__struct0__alpha_async__lesion__s2__bea7282823,0.0144503861655851,0.0061048774896076,0.25,False,0.623609951342524,0.002,0.006,ql,0.58,square_moore,30,70,0.9,0.4199614254234012,0.3,0,0.42,0.08,140,0.3297545292358092,0.3,10,1.4345462696283051,5.51311190448793e-18,0.2,plastic,calibration,-0.003773533823117,False,alpha_async,30,130,180,2,-1,1.0,0.6,0.6,60,0.0528717276319723,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4337842759677502,0.5,-0.3854415950878107,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__baseline__s1__0594bb29ad,0.0047862316455666,0.0099012601791324,0.25,False,0.5601371542171423,0.002,0.006,markov,0.68,hex_cells,30,70,0.9,0.496226800874062,0.3,0,0.42,0.08,140,0.430906240285372,0.4,10,1.3643351357355515,3.7813087628000994e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0243090045936463,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.3914452850703135,0.5,-0.1493775263088523,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__lesion__s1__8bb5f196ac,0.0409746734721991,0.0414393837421316,0.25,False,0.4954463965921666,0.002,0.006,markov,0.68,hex_cells,30,70,0.9,0.4348316455134845,0.3,0,0.42,0.08,140,0.2966337630272508,0.2,10,1.506211992102117,3.1645204780214373e-18,0.2,plastic,calibration,0.0165805460039115,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0378313167093007,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.4300141014398116,0.5,-0.3836029312084393,0.0,0.125,0.2830653204265184,hex_cells__ql__plastic__intr0__struct0__alpha_async__baseline__s1__17a9600856,0.0017530607585834,-0.0058444179836862,0.25,False,0.5795071876364118,0.002,0.006,ql,0.62,hex_cells,30,70,0.9,0.4917050746279824,0.3,0,0.42,0.08,140,0.4274182567957505,0.3,10,1.3575652940283391,3.552034191090365e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0309653366267824,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.436124382316596,0.5,-0.3733547767920003,0.0,0.125,0.3023559966164772,hex_cells__ql__plastic__intr0__struct0__alpha_async__lesion__s1__4af9e6d818,0.0015668979591509,-0.0223977096929776,0.25,False,0.594509337261365,0.002,0.006,ql,0.58,hex_cells,30,70,0.9,0.4833658435830598,0.3,0,0.42,0.08,140,0.3579138126620276,0.4,10,1.2803862093708838,3.978261167631563e-18,0.2,plastic,calibration,-0.0085272662251746,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0305238749361248,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
44,220,0.404331595624777,0.5,-0.2373847343220418,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__alpha_async__baseline__s1__98f30951e6,0.0140289675081837,0.0081449344628363,0.25,False,0.7445071819927909,0.002,0.006,markov,0.58,honeycomb,30,70,0.9,0.3374586989016278,0.3,0,0.42,0.08,140,0.3969589358962374,0.2,10,1.4732102520619372,1.9085299538383453e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0063580384610267,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
