gamma,memory_strength,eta_weight,score,collapse_penalty,formalism_gap,mean_activity
0.68,0.2,0.016,1.5945213508757154,0.0,0.0367403065566933,0.40511776965829605
0.68,0.3,0.016,1.567029669537261,0.0,0.03501123769382336,0.40295957032893703
0.58,0.2,0.016,1.566882919144803,0.0,0.04074696178387682,0.3848850082037667
0.68,0.4,0.016,1.5639426516570312,0.0,0.0399237963590694,0.40368276699116235
0.62,0.2,0.016,1.5631544426148352,0.0,0.040017977944124095,0.3921125653858724
0.68,0.2,0.006,1.563105236564177,0.0,0.03287751174802506,0.4064286103807646
0.68,0.2,0.01,1.562492188199902,0.0,0.03443533106010671,0.40555493090555306
0.68,0.3,0.01,1.5611119413355985,0.0,0.03802319365207424,0.40571081792923974
0.62,0.3,0.016,1.5609974985119421,0.0,0.040528360296051835,0.3894645507997693
0.62,0.2,0.01,1.5555146937518733,0.0,0.03454906698479848,0.3927647368520929
0.58,0.2,0.01,1.5537381031826292,0.0,0.03864083609031099,0.38827680816974003
0.62,0.3,0.01,1.5536159086642425,0.0,0.03630074774666048,0.391752469540761
0.62,0.4,0.01,1.5534291912129459,0.0,0.03721694649167395,0.391550278733004
0.58,0.3,0.01,1.551924460252914,0.0,0.042538948730264425,0.38751169218371706
0.58,0.4,0.01,1.5490872097723933,0.0,0.04451596123492596,0.386644579252731
0.62,0.3,0.006,1.5464325137004573,0.0,0.037115789976320035,0.39538665735074247
0.58,0.3,0.006,1.5438183919605826,0.0,0.039377683045163425,0.3911156054685329
0.58,0.4,0.006,1.5394791201896796,0.0,0.041187022512593985,0.38900821550633885
0.58,0.3,0.016,1.5336355123745078,0.0,0.043560411588205616,0.38294160363264884
0.68,0.3,0.006,1.5318729436208522,0.0,0.03587845483325397,0.4047346216250148
0.58,0.4,0.016,1.5318033605831547,0.0,0.04506844965070983,0.38092296925005675
0.62,0.4,0.016,1.5317849861308135,0.0,0.041170546012528175,0.3879427710363218
0.68,0.4,0.01,1.5305259086217713,0.0,0.037950779567469395,0.4069067585597349
0.68,0.4,0.006,1.5279218943627615,0.0,0.040499425785003984,0.4065389683187526
0.58,0.2,0.006,1.515178642331171,0.0,0.03811078659977596,0.3921263691754154
0.62,0.2,0.006,1.51433162971266,0.0,0.03756870311154947,0.396120307278207
0.62,0.4,0.006,1.512536483150142,0.0,0.03934479487844744,0.39311220894409127
