L_markov,T_markov,activity_late_markov,alpha_async,autocorr_late_markov,bias_mean_late_markov,block_fraction_markov,coherence_late_markov,config_id_markov,corr_A_late_markov,corr_B_late_markov,dephase_markov,diagonal_ablation,entropy_late_markov,eta_intrinsic_markov,eta_weight,formalism_markov,gamma,geometry,imprint_duration_markov,imprint_start_markov,imprint_strength_markov,interface_density_late_markov,intrinsic_bias_limit_markov,intrinsic_enabled,intrinsic_target_activity_markov,lesion_fraction_markov,lesion_time_markov,memory_mean_late_markov,memory_strength,metric_stride_markov,neighbor_pattern_entropy_late_markov,orientation_anisotropy_late_markov,p0_markov,plasticity,profile_markov,repair_reference_corr_markov,save_dense_markov,schedule,second_imprint_duration_markov,second_imprint_start_markov,second_lesion_time_markov,seed,sensitivity_point_markov,sequential_events_per_sweep_markov,sigma_birth,sigma_survive,snapshot_every_markov,spectral_peak_fraction_late_markov,structural_additions_total_markov,structural_enabled,structural_interval_markov,structural_link_fraction_late_markov,structural_min_degree_markov,structural_removals_total_markov,structural_rewire_probability_markov,structural_swap_tolerance_markov,structural_target_fraction_markov,structural_utility_tau_markov,task,tau_memory_markov,theta_input_markov,theta_memory_markov,theta_phase_markov,weight_decay_markov,weight_sum_markov,L_ql,T_ql,activity_late_ql,autocorr_late_ql,bias_mean_late_ql,block_fraction_ql,coherence_late_ql,config_id_ql,corr_A_late_ql,corr_B_late_ql,dephase_ql,entropy_late_ql,eta_intrinsic_ql,formalism_ql,imprint_duration_ql,imprint_start_ql,imprint_strength_ql,interface_density_late_ql,intrinsic_bias_limit_ql,intrinsic_target_activity_ql,lesion_fraction_ql,lesion_time_ql,memory_mean_late_ql,metric_stride_ql,neighbor_pattern_entropy_late_ql,orientation_anisotropy_late_ql,p0_ql,profile_ql,repair_reference_corr_ql,save_dense_ql,second_imprint_duration_ql,second_imprint_start_ql,second_lesion_time_ql,sensitivity_point_ql,sequential_events_per_sweep_ql,snapshot_every_ql,spectral_peak_fraction_late_ql,structural_additions_total_ql,structural_interval_ql,structural_link_fraction_late_ql,structural_min_degree_ql,structural_removals_total_ql,structural_rewire_probability_ql,structural_swap_tolerance_ql,structural_target_fraction_ql,structural_utility_tau_ql,tau_memory_ql,theta_input_ql,theta_memory_ql,theta_phase_ql,weight_decay_ql,weight_sum_ql,d_activity_late,d_entropy_late,d_repair_reference_corr,d_neighbor_pattern_entropy_late,divergence_score
44,220,0.4605641897712551,0.5,-0.0814619043851963,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__e303731955,-0.0232930842915765,-0.0150112758340845,0.25,False,0.917948135258368,0.002,0.006,markov,0.58,extended_hex_r2,30,70,0.9,0.1854226848404738,0.3,0,0.42,0.08,140,0.439491381863146,0.2,10,0.637630081847345,3.905841109848796e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0123830505326821,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4305049839488162,-0.0895526572972787,0.0,0.125,0.137297894783388,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__d5a7a4e4b4,0.0005336712512227,-0.001216992158759,0.25,0.9000592164852211,0.002,ql,30,70,0.9,0.1937449810300532,0.3,0.42,0.08,140,0.4411032414390476,10,0.2625280758560575,3.821788883595035e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0122494032373322,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.030059205822438873,0.01788891877314691,0.0,0.37510200599128757,0.42305013058687335
44,220,0.4608193547464804,0.5,-0.0800671711754477,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__572bb73b1e,-0.02185204105136,-0.0121078207370523,0.25,False,0.918315600884698,0.002,0.01,markov,0.58,extended_hex_r2,30,70,0.9,0.1846997197794493,0.3,0,0.42,0.08,140,0.4389519901659642,0.2,10,0.6357680098121024,4.922748491677015e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.010534124039059,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4298725548117358,-0.0876265440903686,0.0,0.125,0.1370083754297164,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__4e847abec2,0.0020752699495623,-0.0006293326735371,0.25,0.9004926602434831,0.002,ql,30,70,0.9,0.1926960324034912,0.3,0.42,0.08,140,0.4404562404273041,10,0.2624501696780372,4.417885064965541e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0112637819840075,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.030946799934744584,0.017822940641214924,0.0,0.37331784013406516,0.42208758071002467
44,220,0.4602706583781294,0.5,-0.0792753901768199,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__d5c2e1d5f2,-0.0190199383562514,-0.0105104643408333,0.25,False,0.9180360989142344,0.002,0.016,markov,0.58,extended_hex_r2,30,70,0.9,0.1844542365963291,0.3,0,0.42,0.08,140,0.4381746266412777,0.2,10,0.632633456316514,3.7748063454679065e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0089431994417926,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4288949412643377,-0.0858505074487147,0.0,0.125,0.1368652733135358,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__627a0d53fa,0.0045405663994248,0.0002852542012112,0.25,0.9008004101163908,0.002,ql,30,70,0.9,0.1917308038166771,0.3,0.42,0.08,140,0.4394999794860841,10,0.2612142527749267,4.443808866551779e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0110379228058574,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.03137571711379172,0.01723568879784365,0.0,0.3714192035415873,0.4200306094532227
44,220,0.4602251911833255,0.5,-0.0817333885947915,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__0188cdcc5b,-0.0219508875346029,-0.0146010991124926,0.25,False,0.9176612830212264,0.002,0.006,markov,0.58,extended_hex_r2,30,70,0.9,0.1856565257527715,0.3,0,0.42,0.08,140,0.4392390317686704,0.3,10,0.6339476908288733,4.0152292961596566e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0117881739705413,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4303292363922022,-0.0896649441196985,0.0,0.125,0.1377305587372814,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__f575d65dfe,-0.0006741610633409,-0.0008488408678694,0.25,0.8997508289928937,0.002,ql,30,70,0.9,0.1941027801855491,0.3,0.42,0.08,140,0.440899842423043,10,0.2630704479759134,3.860600180686143e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0125573692047899,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.02989595479112328,0.01791045402833269,0.0,0.37087724285295987,0.41868365167241584
44,220,0.4602604437974367,0.5,-0.0797978050284386,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__c14dbe339f,-0.0240683210803741,-0.0139874739773189,0.25,False,0.9180607591009684,0.002,0.01,markov,0.58,extended_hex_r2,30,70,0.9,0.1849821469498074,0.3,0,0.42,0.08,140,0.4387190887792054,0.3,10,0.6314637713540399,4.651125456280172e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0108326474643659,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4295868515434729,-0.0879906441204527,0.0,0.125,0.1374958622605044,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__1a3960272e,0.0013063399247285,8.634807267562461e-05,0.25,0.9000311552660835,0.002,ql,30,70,0.9,0.1932653223384323,0.3,0.42,0.08,140,0.4402041883449545,10,0.2619842540070939,3.767467944412002e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.011883249751566,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.030673592253963766,0.018029603834884944,0.0,0.36947951734694595,0.41818271343579466
44,220,0.4600066758259927,0.5,-0.0794014134118776,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__62a55591a9,-0.0216267937782971,-0.011583277649338,0.25,False,0.9180780678673522,0.002,0.016,markov,0.58,extended_hex_r2,30,70,0.9,0.1844495151726686,0.3,0,0.42,0.08,140,0.4379368628613301,0.3,10,0.6266664203685536,3.713557202928421e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0091546264781767,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4286790679877722,-0.0862825179812322,0.0,0.125,0.1372872907193914,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__33f52ee070,0.0032591485249737,0.0008710538411993,0.25,0.9004507873885967,0.002,ql,30,70,0.9,0.1921063215970909,0.3,0.42,0.08,140,0.4392861985649903,10,0.2618216800740432,3.9261384451889166e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0116372785902683,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.03132760783822047,0.017627280478755503,0.0,0.36484474029451036,0.41379962861148634
44,220,0.4598490567949676,0.5,-0.0824397778525945,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__3425d77333,-0.0224210363772405,-0.0146191966948093,0.25,False,0.917273646855651,0.002,0.006,markov,0.58,extended_hex_r2,30,70,0.9,0.1860366375891956,0.3,0,0.42,0.08,140,0.4389814315824749,0.4,10,0.6294175359321452,4.224388071825865e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0119945186113425,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4397332748708162,-0.094481131647426,0.0,0.125,0.1431563645168498,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__2dd3704770,-0.0178287918667795,-0.0270193725918843,0.25,0.9080667412849106,0.002,ql,30,70,0.9,0.1917003777645603,0.3,0.42,0.08,140,0.4387968520609376,10,0.4173962048277798,3.688521177219756e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0199093273191079,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.02011578192415142,0.009206905570740442,0.0,0.21202133110436544,0.2413440185992573
44,220,0.4598634615684975,0.5,-0.0804585184555014,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__eb1779a3e8,-0.0248489061602654,-0.0145189076032679,0.25,False,0.9176032095770952,0.002,0.01,markov,0.58,extended_hex_r2,30,70,0.9,0.1855226468786584,0.3,0,0.42,0.08,140,0.4384569607486471,0.4,10,0.6294308591498379,3.7855821694435665e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0110617265728613,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4402367368278357,-0.0732892022703843,0.0,0.125,0.1403965842963209,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__8345729328,-0.0192417184874399,-0.0304961226668262,0.25,0.9129001234357744,0.002,ql,30,70,0.9,0.1835187602252743,0.3,0.42,0.08,140,0.4383751090706369,10,0.4370954962543418,3.8083028608100455e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0138651263751955,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.019626724740661794,0.004703086141320756,0.0,0.19233536289549608,0.21666517377747863
44,220,0.4597421526340511,0.5,-0.0799278622687939,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__52f0bb2881,-0.0225545014488874,-0.0122257662452377,0.25,False,0.917735788639064,0.002,0.016,markov,0.58,extended_hex_r2,30,70,0.9,0.1849445880264961,0.3,0,0.42,0.08,140,0.4376770341752752,0.4,10,0.6237563745538591,4.081404651910072e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0094714450521515,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.429064756683348,-0.0866528404557752,0.0,0.125,0.1381616770215403,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__b3ce332f00,-0.0015760211172046,8.947279603659531e-05,0.25,0.9007350717663216,0.002,ql,30,70,0.9,0.1917918597075315,0.3,0.42,0.08,140,0.4387352265338335,10,0.2606723317990234,4.273985803850253e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0106312743707909,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.030677395950703124,0.017000716872742405,0.0,0.36308404275483575,0.4107621555782813
44,220,0.4480751945152727,0.5,-0.014780609239841,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__4fc300b843,-0.020555284364712,-0.0406891166979231,0.25,False,0.8903235000865126,0.002,0.006,markov,0.62,extended_hex_r2,30,70,0.9,0.2067785061767217,0.3,0,0.42,0.08,140,0.4425945387587956,0.2,10,0.7024394369883422,3.941541415973507e-18,0.2,plastic,calibration,,False,alpha_async,30,130,180,1,-1,1.0,0.6,0.6,60,0.0238620744175863,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,44,220,0.4274207124386482,-0.0689354714654169,0.0,0.125,0.1350096128501066,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__baseline__s1__e208e9658e,0.0021434452012943,-0.0024619256275017,0.25,0.8678329543666543,0.002,ql,30,70,0.9,0.2209079769099099,0.3,0.42,0.08,140,0.4429381346257563,10,0.2776137565078719,4.1371897271261944e-18,0.2,calibration,,False,30,130,180,-1,1.0,60,0.0065317229679218,0,40,1.0,2,0,0.25,0.01,0.75,50.0,30.0,0.45,0.2,0.1,0.002,8.0,0.020654482076624514,0.022490545719858313,0.0,0.4248256804804703,0.46797070827695314
