L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,order_bias,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
72,500,0.3997204469659968,0.5,-0.1172116897366853,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__synchronous__baseline__s1__2ebe4f86b8,0.0012288692695471,0.0032511476179224,0.25,False,0.7684532280235571,0.002,0.016,markov,0.68,square_vn,50,100,0.9,0.3015047916676193,0.3,0,0.42,0.08,300,0.3992180683262006,0.2,20,1.4579008260305393,,2.011368960187208e-18,0.2,fixed,primary,,False,synchronous,50,260,400,1,-1,1.0,0.6,0.6,100,0.003191985184316,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.1511620751399341,0.5,0.5673501043286487,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__synchronous__imprint__s1__bbd1a9fc3f,0.2504414250102806,0.2228571124596788,0.25,False,0.2902047674360056,0.002,0.016,markov,0.68,square_vn,50,100,0.9,0.1162482153023011,0.3,0,0.42,0.08,300,0.1534786834660267,0.2,20,1.1642657372181826,,2.95108397818901e-18,0.2,plastic,primary,,False,synchronous,50,260,400,1,-1,1.0,0.6,0.6,100,0.0940961861938445,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3942203554931295,0.5,-0.0901000425458179,0.0,0.125,0.2589374090062682,square_vn__ql__fixed__intr0__struct0__synchronous__lesion__s1__1e9eb475b9,-0.0026307840122049,-0.0112982944868547,0.25,False,0.7686291002578292,0.002,0.016,ql,0.68,square_vn,50,100,0.9,0.2936026294276178,0.3,0,0.42,0.08,300,0.395090236024356,0.2,20,1.427927387837436,,1.4873025573910429e-18,0.2,fixed,primary,-0.0179732188293394,False,synchronous,50,260,400,1,-1,1.0,0.6,0.6,100,0.002928209183859,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3935918875842195,0.5,-0.1033484841521873,0.0,0.125,0.2678011660089287,square_vn__ql__plastic__intr0__struct0__synchronous__order_ab__s1__c7c08e9834,0.0132617897060819,0.003920304690715,0.25,False,0.7642935930861752,0.002,0.016,ql,0.68,square_vn,50,100,0.9,0.2983124529208656,0.3,0,0.42,0.08,300,0.3889553810064219,0.2,20,1.4233118746933866,-0.0093414850153669,1.7185396907790711e-18,0.2,plastic,primary,,False,synchronous,50,260,400,1,-1,1.0,0.6,0.6,100,0.0024935867659086,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4019483416496774,0.5,0.4140230023026516,0.0,0.125,0.0,square_moore__markov__fixed__intr0__struct0__synchronous__order_ba__s1__03df2f6858,0.0297458315537966,-0.0027856495945333,0.25,False,0.8159966349287491,0.002,0.016,markov,0.68,square_moore,50,100,0.9,0.1708371191863029,0.3,0,0.42,0.08,300,0.4030607250245593,0.2,20,1.309990498003767,-0.0325314811483299,3.786094883016818e-18,0.2,fixed,primary,,False,synchronous,50,260,400,1,-1,1.0,0.6,0.6,100,0.0135112703819504,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4359681095648916,0.5,-0.3012392930805004,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__alpha_async__baseline__s1__1a54d5a529,0.006438855961313,-0.0041365568851699,0.25,False,0.6092424191064764,0.002,0.016,markov,0.68,square_moore,50,100,0.9,0.4501567521725024,0.3,0,0.42,0.08,300,0.4309700687319178,0.2,20,1.2476619698482705,,2.5485689873901056e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.015907162146377,0,0,40,0.9999276620370372,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4169749403230154,0.5,-0.3200878782997128,0.0,0.125,0.3023653069307995,square_moore__ql__fixed__intr0__struct0__alpha_async__imprint__s1__46ad43023b,0.0050525535503413,0.0058370761060606,0.25,False,0.6346368491025715,0.002,0.016,ql,0.68,square_moore,50,100,0.9,0.4326359847176341,0.3,0,0.42,0.08,300,0.413760194070747,0.2,20,1.3832325629958526,,3.7397479124761844e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0761829053021416,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4076689953331922,0.5,-0.3654238910615419,0.0,0.125,0.272925104504852,square_moore__ql__plastic__intr0__struct0__alpha_async__lesion__s1__7d666b2449,0.0078061660956244,0.008418386000028,0.25,False,0.5712084946889064,0.002,0.016,ql,0.68,square_moore,50,100,0.9,0.4770860455258326,0.3,0,0.42,0.08,300,0.4058007107699117,0.2,20,1.5052670070438434,,2.4922958929001454e-18,0.2,plastic,primary,0.0075806424188748,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0209105354067788,0,0,40,0.9992766203703703,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3731144519492267,0.5,-0.0831989776354317,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__b95d547430,0.0810152519206389,0.0676468295973762,0.25,False,0.4314952415916918,0.002,0.016,markov,0.68,hex_cells,50,100,0.9,0.4213397398465751,0.3,0,0.42,0.08,300,0.3385518448817591,0.2,20,1.567948029310396,-0.0133684223232626,2.155400623066543e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0439560165058221,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3078242976575219,0.5,0.080096895469873,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__alpha_async__order_ba__s1__1e0e8f474b,0.109706494641729,0.0963263082065593,0.25,False,0.4139068854347226,0.002,0.016,markov,0.68,hex_cells,50,100,0.9,0.3336822820355272,0.3,0,0.42,0.08,300,0.2830005413290031,0.2,20,1.5393052482412666,-0.0133801864351697,2.696994449140085e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0538223546588066,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0
