L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,order_bias,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,selection_role,selection_score
72,500,0.4788169494347112,0.5,-0.0204087757958201,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__baseline__s2__e8d01826d4,0.0108302609586245,0.0131113401433471,0.25,False,0.8497157952183947,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2463354521558784,0.3,0,0.42,0.08,300,0.4496442130268747,0.2,20,0.8590571503200204,,2.6583927985400665e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0033218297864019,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,median,0.9701077419239696
72,500,0.4788169494347112,0.5,-0.0204087757958201,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__baseline__s2__e8d01826d4,0.0108302609586245,0.0131113401433471,0.25,False,0.8497157952183947,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2463354521558784,0.3,0,0.42,0.08,300,0.4496442130268747,0.2,20,0.8590571503200204,,2.6583927985400665e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0033218297864019,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8573962354268194
72,500,0.4153307463046152,0.5,-0.0466108975322795,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s1__deb2de3fa3,-0.0024056280860223,-0.0030048843405365,0.25,False,0.8290792987878101,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2453258269767775,0.3,0,0.42,0.08,300,0.4506252202196731,0.2,20,0.2743898146495495,,2.8198398407998998e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.002241010858862,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,median,0.024957746242793365
72,500,0.4607320840778222,0.5,0.0142960500874306,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__baseline__s2__b63e165677,0.0056208945640627,0.0014249657161373,0.25,False,0.8536160684906898,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2383434284347096,0.3,0,0.42,0.08,300,0.4484702251514283,0.2,20,0.8816785264759626,,2.7331531663023925e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0207545791936937,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8713012368791158
72,500,0.4873353946035376,0.5,-0.0468509561487061,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__imprint__s5__9f3db264dc,0.0051624588064644,-0.0069763510485419,0.25,False,0.8431652914941121,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2540093618331331,0.3,0,0.42,0.08,300,0.4457880052272046,0.2,20,0.8043659441219901,,2.761648051182389e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.0025525961770104,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,median,0.9607077905663663
72,500,0.4529056327948256,0.5,0.0126500176828644,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__imprint__s1__8fc33411b7,0.0248189695708637,0.0111250501092292,0.25,False,0.8450000334725296,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2447795769213487,0.3,0,0.42,0.08,300,0.4468904568230699,0.2,20,0.8526711927965367,,2.396258927018635e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0231504352954921,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8410959751487906
72,500,0.4354718367148143,0.5,0.0043460870525442,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__imprint__s4__12b4872e5a,0.0289257767425662,0.0211188880512864,0.25,False,0.8500161730949383,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2355248448039752,0.3,0,0.42,0.08,300,0.444267459416188,0.2,20,0.6729932410241245,,2.573634544648131e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0094041636891804,0,0,40,0.9906014231824416,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,median,0.5001286491575838
72,500,0.4858425704271595,0.5,-0.0381274075648977,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__imprint__s2__10da5e8fc4,-0.0073299562978932,-0.0044816121237904,0.25,False,0.8516460488810385,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2466043177077498,0.3,0,0.42,0.08,300,0.4434589941377779,0.2,20,0.8388147374744992,,2.5206261527150984e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0022146652615787,0,0,40,0.9907514574759944,2,0,0.25,0.01,0.75,50.0,imprint,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8377074048437099
72,500,0.4873354183578776,0.5,-0.0468508035166715,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s5__f0f037d13c,0.0051622876441922,-0.0069756575506335,0.25,False,0.8431652576045856,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2540093074083354,0.3,0,0.42,0.08,300,0.4457869304018352,0.2,20,0.8043659441219901,,2.497376756122497e-18,0.2,fixed,primary,-0.0039739699238551,False,alpha_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.0025526230857957,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.9604502313148409
72,500,0.4529147106906096,0.5,0.0126473359605062,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s1__28c23456e9,0.0248077778285767,0.011111923809563,0.25,False,0.8450179640190653,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2447663541885631,0.3,0,0.42,0.08,300,0.446888319769071,0.2,20,0.8526987714090986,,2.315826972533482e-18,0.2,fixed,primary,0.0190395063421338,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0231458341542766,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8411258543319603
72,500,0.4141732544488274,0.5,-0.0496610252443539,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__lesion__s4__74cfed7eb3,0.0055980802081851,-0.0019440205979996,0.25,False,0.823161122003685,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2501760086573995,0.3,0,0.42,0.08,300,0.4486621336335967,0.2,20,0.2681383385124624,,2.60363422424347e-18,0.2,fixed,primary,0.0227098407328737,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0027837140183043,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0227098407328737
72,500,0.4392730071105936,0.5,0.009164051892152,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s4__9e254e7a3f,0.0458589600121317,0.0422530979236471,0.25,False,0.8478663829348301,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2386993367541026,0.3,0,0.42,0.08,300,0.4437995384679281,0.2,20,0.727436440171099,,2.6747556760834927e-18,0.2,plastic,primary,-0.0402638872591553,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0144573604391769,0,0,40,0.9906550068587106,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.6783110265517664
72,500,0.4859214946105849,0.5,-0.0380962254516223,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__5015c57fad,-0.0072286479895275,-0.0040871554825411,0.25,False,0.85161701940259,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2466061170052665,0.3,0,0.42,0.08,300,0.4434517855249768,0.2,20,0.8385421164576474,,2.681933814455565e-18,0.2,plastic,primary,0.0442234508542395,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0022015053882334,0,0,40,0.9908050411522634,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8374413637635307
72,500,0.4859214946105849,0.5,-0.0380962254516223,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__5015c57fad,-0.0072286479895275,-0.0040871554825411,0.25,False,0.85161701940259,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2466061170052665,0.3,0,0.42,0.08,300,0.4434517855249768,0.2,20,0.8385421164576474,,2.681933814455565e-18,0.2,plastic,primary,0.0442234508542395,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0022015053882334,0,0,40,0.9908050411522634,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0442234508542395
72,500,0.4572519313871089,0.5,0.0610993234923058,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s5__54e4dc3a17,0.0315026872867398,0.0241169459795716,0.25,False,0.8257845278334106,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2419577754944026,0.3,0,0.42,0.08,300,0.3940136086165058,0.2,20,0.9329116190882516,-0.0073857413071681,2.4989593138045212e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.0141010079781043,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,median,0.4039869629068563
72,500,0.4519975400105495,0.5,0.0833722044578838,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ab__s1__88a429765c,-0.0504408868500417,-0.039375204787216,0.25,False,0.8228026862200238,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2408010670268097,0.3,0,0.42,0.08,300,0.3927174962014068,0.2,20,0.9829173902221584,0.0110656820628256,2.6583730451870232e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0166710329358637,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.9745818737542266
72,500,0.4339063561180538,0.5,0.1144050129718139,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__order_ab__s5__79403f34a4,0.0257974513613678,0.0250243273207447,0.25,False,0.8178936508257515,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2312861282095807,0.3,0,0.42,0.08,300,0.3863043628939765,0.2,20,0.965719913028684,-0.0007731240406231,2.699824194713242e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,5,-1,1.0,0.6,0.6,100,0.0247645216497806,0,0,40,0.9867862654320988,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,median,0.042683593951764284
72,500,0.4455351271553345,0.5,0.1160513869016911,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__order_ab__s4__a2104517bf,0.0051629914007692,0.0153377033376032,0.25,False,0.8175733580074859,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2337470468245805,0.3,0,0.42,0.08,300,0.3842920678186459,0.2,20,1.0156605823218168,0.010174711936834,2.6832262256536012e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,4,-1,1.0,0.6,0.6,100,0.0248841958254495,0,0,40,0.986775548696845,2,0,0.25,0.01,0.75,50.0,order_ab,30.0,0.45,0.2,0.1,0.002,8.0,visual,1.0032184844090921
72,500,0.4557260625264745,0.5,0.1167916307201981,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ba__s1__d3e929737c,0.0245029016837897,0.0198473703342537,0.25,False,0.809401495057444,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2392084363664886,0.3,0,0.42,0.08,300,0.3884134347080358,0.2,20,1.0303291697713763,-0.0046555313495359,2.7654557035451727e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,1,-1,1.0,0.6,0.6,100,0.0231248213548227,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0,median,0.6444852520876654
72,500,0.4509663616387963,0.5,0.1218721891676573,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__alpha_async__order_ba__s3__a6cbecabb4,0.0337916577605102,0.019739568833436,0.25,False,0.8106306128822099,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2375923397772946,0.3,0,0.42,0.08,300,0.3888676059213077,0.2,20,1.0362623109474536,-0.0140520889270741,2.965875888879173e-18,0.2,fixed,primary,,False,alpha_async,50,260,400,3,-1,1.0,0.6,0.6,100,0.0278212552800202,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0,visual,1.0223516833074435
72,500,0.4129059288182232,0.5,0.1366678038087624,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__order_ba__s2__bbafe2a2a8,0.0549791691007424,0.0521049209041947,0.25,False,0.8040957205594761,0.002,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2261292933000705,0.3,0,0.42,0.08,300,0.3840993498825677,0.2,20,0.8703945151894017,-0.0028742481965477,2.9353415086723854e-18,0.2,plastic,primary,,False,alpha_async,50,260,400,2,-1,1.0,0.6,0.6,100,0.0226202864635159,0,0,40,0.987204218106996,2,0,0.25,0.01,0.75,50.0,order_ba,30.0,0.45,0.2,0.1,0.002,8.0,median,1.261291881819173
