L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
72,500,0.1456338034595706,0.5,0.5696812185387599,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__synchronous__lesion__s1__d0278d8997,0.2489194225560408,0.2383011476613704,0.25,False,0.2813533516938508,0.003,0.016,markov,0.68,square_vn,50,100,0.9,0.1125358667183135,0.3,0,0.42,0.08,280,0.147202578615406,0.2,20,1.1370127483362304,2.6769529834687644e-18,0.2,plastic,secondary,0.2157357090127082,False,synchronous,50,250,390,1,-1,1.0,0.6,0.6,100,0.1000711320163793,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3902880254476933,0.5,-0.2763198741611378,0.1898549806880971,0.125,0.0,square_vn__markov__plastic__intr1__struct0__block_async__lesion__s1__55d6c22ee6,0.0109780662500884,0.0190571409083818,0.25,False,0.7292576164258415,0.003,0.016,markov,0.68,square_vn,50,100,0.9,0.3527416605071432,0.3,1,0.42,0.08,280,0.3894578782890698,0.2,20,1.4599535856422916,1.790168407078884e-18,0.2,plastic,secondary,0.0035380182492712,False,block_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0029859580288853,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3852031869477698,0.5,-0.128208890014277,0.0,0.125,0.2913939012859302,square_vn__ql__plastic__intr0__struct1__alpha_async__lesion__s1__ec5851755f,-0.0054538887946921,-0.0026299677540823,0.25,False,0.7172336888171138,0.003,0.016,ql,0.68,square_vn,50,100,0.9,0.3272917368538734,0.3,0,0.42,0.08,280,0.374725037971041,0.2,20,1.3931362563396013,2.4268252578773898e-18,0.2,plastic,secondary,-0.0003525672343026,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0023347785569129,22396,1,35,0.75,2,22396,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4125276553248337,0.5,0.3423780085018599,0.0,0.125,0.0,square_moore__markov__plastic__intr0__struct0__synchronous__lesion__s1__76b4da193c,-0.0038616966190235,-0.0191513609250208,0.25,False,0.8486049419116686,0.003,0.016,markov,0.68,square_moore,50,100,0.9,0.1764097232506572,0.3,0,0.42,0.08,280,0.4157849337774084,0.2,20,1.2484325372523082,2.8211252185760667e-18,0.2,plastic,secondary,0.0304217287097252,False,synchronous,50,250,390,1,-1,1.0,0.6,0.6,100,0.0043171759398689,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3799568062228798,0.5,-0.3654492962603637,0.0885355034113692,0.125,0.0,square_moore__markov__plastic__intr1__struct0__block_async__lesion__s1__9af2a41f0d,0.0227078334926467,0.0142572953468958,0.25,False,0.5817180040548718,0.003,0.016,markov,0.68,square_moore,50,100,0.9,0.452742883244848,0.3,1,0.42,0.08,280,0.3794232768961798,0.2,20,1.512156564086317,2.7431056999579105e-18,0.2,plastic,secondary,0.0207021062222063,False,block_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0288150642779541,0,0,35,0.9976128472222222,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.3897246357854484,0.5,-0.3327639543460796,0.0,0.125,0.2753844340720377,square_moore__ql__plastic__intr0__struct1__alpha_async__lesion__s1__d382b2e2d6,-0.0017821386920133,0.0048278580491059,0.25,False,0.5640403645000125,0.003,0.016,ql,0.68,square_moore,50,100,0.9,0.4637680090928565,0.3,0,0.42,0.08,280,0.389939623664273,0.2,20,1.5022866387494958,3.168298735469763e-18,0.2,plastic,secondary,0.0102802411937975,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0156335682021195,29237,1,35,0.75,2,29237,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4478155004441859,0.5,-0.2849583831072703,0.0,0.125,0.0,hex_cells__markov__plastic__intr0__struct0__synchronous__lesion__s1__648f1d6c23,-0.002068330962902,-0.0002528544352853,0.25,False,0.6656094407640631,0.003,0.016,markov,0.68,hex_cells,50,100,0.9,0.3966341918016667,0.3,0,0.42,0.08,280,0.4456057301833348,0.2,20,1.332867255166838,2.0917360596008973e-18,0.2,plastic,secondary,0.000175495201278,False,synchronous,50,250,390,1,-1,1.0,0.6,0.6,100,0.0211976879276242,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4108376052670172,0.5,-0.3128401713622007,0.0900312271882694,0.125,0.0,hex_cells__markov__plastic__intr1__struct0__block_async__lesion__s1__c599913c31,0.0271186300527604,0.0162171113989743,0.25,False,0.6300742083154167,0.003,0.016,markov,0.68,hex_cells,50,100,0.9,0.4252418650609219,0.3,1,0.42,0.08,280,0.412973911678782,0.2,20,1.2902750548198794,1.8324915742100385e-18,0.2,plastic,secondary,0.0216659004206257,False,block_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0066680471802454,0,0,35,0.9999678497942388,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.4192897099336494,0.5,-0.2000344267172292,0.0,0.125,0.2302124554893427,hex_cells__ql__plastic__intr0__struct1__alpha_async__lesion__s1__fa24eab7e2,0.000652347982302,-0.0008201129158285,0.25,False,0.6991306828925494,0.003,0.016,ql,0.68,hex_cells,50,100,0.9,0.3693963466776493,0.3,0,0.42,0.08,280,0.4151095486243224,0.2,20,1.0745159085934612,2.7679535273953183e-18,0.2,plastic,secondary,0.0044139523512726,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0021529100159667,31048,1,35,0.6666666666666666,2,31048,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
72,500,0.2569964711579838,0.5,0.4030921841891749,0.0,0.125,0.0,honeycomb__markov__plastic__intr0__struct0__synchronous__lesion__s1__8bb9dd310e,0.1447514493341848,0.1225656700616862,0.25,False,0.4870293605814659,0.003,0.016,markov,0.68,honeycomb,50,100,0.9,0.2003805114875623,0.3,0,0.42,0.08,280,0.2611004530685553,0.2,20,1.5107914195065058,1.8737076734611762e-18,0.2,plastic,secondary,0.1355502853737867,False,synchronous,50,250,390,1,-1,1.0,0.6,0.6,100,0.1655772797773527,0,0,35,1.0,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
