L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,selection_role,selection_score
72,500,0.4342913806420073,0.5,-0.0059924742923915,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__975cbc1ba0,-0.0125154651114644,-0.0255250875590138,0.25,False,0.8455731257730493,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2388130950319006,0.3,0,0.42,0.08,280,0.445451244035632,0.2,20,0.6232560724795082,2.315476579204033e-18,0.2,plastic,secondary,0.0065240436937798,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0073598018001586,0,0,35,0.9908800582990398,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.7176645532873742
72,500,0.4855700687918196,0.5,-0.0377397638365901,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__a2c88bf38e,-0.0088765715238454,-0.0042898676622742,0.25,False,0.8513811217219363,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2467347367112811,0.3,0,0.42,0.08,280,0.4433635084733552,0.2,20,0.8387889419600354,2.4979599054647873e-18,0.2,plastic,secondary,0.0448815853606056,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0022739110233709,0,0,35,0.9908050411522634,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8376519864483499
72,500,0.4855700687918196,0.5,-0.0377397638365901,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__a2c88bf38e,-0.0088765715238454,-0.0042898676622742,0.25,False,0.8513811217219363,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2467347367112811,0.3,0,0.42,0.08,280,0.4433635084733552,0.2,20,0.8387889419600354,2.4979599054647873e-18,0.2,plastic,secondary,0.0448815853606056,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0022739110233709,0,0,35,0.9908050411522634,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0448815853606056
72,500,0.4316209367590146,0.5,-0.034714413705955,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__lesion__s3__54607c01d6,-0.0206454090152032,-0.0219180796760905,0.25,False,0.8415604177474139,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2472116785485877,0.3,0,0.42,0.08,280,0.440985334330411,0.2,20,0.5715306052579633,2.6319094906342564e-18,0.2,plastic,secondary,-0.0256516134313473,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0049395319040146,38661,1,35,0.7777563443072703,2,38622,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.0
72,500,0.4412717856476528,0.5,-0.0311932984451973,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__lesion__s1__614e7061c9,-0.0249158609566929,-0.0048340190780657,0.25,False,0.8473595009484217,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2466536509739393,0.3,0,0.42,0.08,280,0.4397612389110362,0.2,20,0.6625519990558891,2.5183752698936347e-18,0.2,plastic,secondary,0.0088502999948282,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0055241782232916,38443,1,35,0.777724194101509,2,38411,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.6597899099442434
72,500,0.4412717856476528,0.5,-0.0311932984451973,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__lesion__s1__614e7061c9,-0.0249158609566929,-0.0048340190780657,0.25,False,0.8473595009484217,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2466536509739393,0.3,0,0.42,0.08,280,0.4397612389110362,0.2,20,0.6625519990558891,2.5183752698936347e-18,0.2,plastic,secondary,0.0088502999948282,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0055241782232916,38443,1,35,0.777724194101509,2,38411,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0088502999948282
72,500,0.4689729839152011,0.5,-0.0376017309156163,0.0529788911209297,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__lesion__s1__536f7bf960,-0.0061638911609189,-0.0009627978431165,0.25,False,0.8470786111113998,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2486359942235849,0.3,1,0.42,0.08,280,0.4365539343046055,0.2,20,0.8061092532802974,2.5962541956115887e-18,0.2,plastic,secondary,0.0368762194682657,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0028678540034446,0,0,35,0.9894975994513032,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.0425336040389587
72,500,0.4734746558223771,0.5,-0.0354938923327161,0.0527464812726341,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__lesion__s2__51a9195632,-0.0403505046001228,-0.0182073600182252,0.25,False,0.846535471113202,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.249673513333102,0.3,1,0.42,0.08,280,0.4365770223228604,0.2,20,0.8230905453181497,2.4793065185510617e-18,0.2,plastic,secondary,0.0269598497221004,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0025630914875398,0,0,35,0.9896369170096022,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8218089995743798
72,500,0.4689729839152011,0.5,-0.0376017309156163,0.0529788911209297,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__lesion__s1__536f7bf960,-0.0061638911609189,-0.0009627978431165,0.25,False,0.8470786111113998,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2486359942235849,0.3,1,0.42,0.08,280,0.4365539343046055,0.2,20,0.8061092532802974,2.5962541956115887e-18,0.2,plastic,secondary,0.0368762194682657,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0028678540034446,0,0,35,0.9894975994513032,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0368762194682657
72,500,0.4511304771492601,0.5,-0.0626119473422468,0.0602873549771233,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__alpha_async__lesion__s2__5209fdd41c,-0.0229653168914702,-0.0132130370758357,0.25,False,0.8344927951556175,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2608569156807393,0.3,1,0.42,0.08,280,0.4220017829429837,0.2,20,0.7194917559174341,2.7727250444789892e-18,0.2,plastic,secondary,0.0062486032557762,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0047919598683516,38538,1,35,0.7776920438957476,2,38458,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.4137519616600902
72,500,0.4511304771492601,0.5,-0.0626119473422468,0.0602873549771233,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__alpha_async__lesion__s2__5209fdd41c,-0.0229653168914702,-0.0132130370758357,0.25,False,0.8344927951556175,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2608569156807393,0.3,1,0.42,0.08,280,0.4220017829429837,0.2,20,0.7194917559174341,2.7727250444789892e-18,0.2,plastic,secondary,0.0062486032557762,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0047919598683516,38538,1,35,0.7776920438957476,2,38458,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7170957759832582
72,500,0.4295718428713725,0.5,-0.0440533595787538,0.062648229755441,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__alpha_async__lesion__s3__c614ad378f,0.022466501370764,-0.0054194657313088,0.25,False,0.831204367026408,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.256567742783868,0.3,1,0.42,0.08,280,0.4223523834746159,0.2,20,0.5938596155433166,2.613054093553767e-18,0.2,plastic,secondary,0.0357140408762113,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.005843555674303,38698,1,35,0.7777027606310014,2,38638,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0357140408762113
72,500,0.434160092241224,0.5,-0.0066125019165222,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__repeated_lesion__s1__f2fe14e088,-0.0122014610859811,-0.0250642282835856,0.25,False,0.8454208274289515,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2388937552554947,0.3,0,0.42,0.08,280,0.4455074058231485,0.2,20,0.620256867755827,2.3335447571650892e-18,0.2,plastic,secondary,0.0052412187434831,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0072217396178051,0,0,35,0.9908800582990398,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.7579096921568381
72,500,0.4855663032630695,0.5,-0.0376573926812533,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__repeated_lesion__s2__d38df10ad7,-0.0088827952826347,-0.0044685730885301,0.25,False,0.8513818415195995,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2467326926340659,0.3,0,0.42,0.08,280,0.4433722245206817,0.2,20,0.838728159777002,2.6473024879573323e-18,0.2,plastic,secondary,0.0449581128640083,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0022846401835132,0,0,35,0.9908157578875172,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.8375858396852454
72,500,0.4855663032630695,0.5,-0.0376573926812533,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__repeated_lesion__s2__d38df10ad7,-0.0088827952826347,-0.0044685730885301,0.25,False,0.8513818415195995,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2467326926340659,0.3,0,0.42,0.08,280,0.4433722245206817,0.2,20,0.838728159777002,2.6473024879573323e-18,0.2,plastic,secondary,0.0449581128640083,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0022846401835132,0,0,35,0.9908157578875172,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0449581128640083
72,500,0.4333199965214337,0.5,-0.0348890218296217,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__repeated_lesion__s3__b6a35453c5,-0.0163797102754178,-0.0168648849662973,0.25,False,0.8419321162716471,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2474827844842521,0.3,0,0.42,0.08,280,0.4413494554094244,0.2,20,0.5886864313611999,2.244148474836867e-18,0.2,plastic,secondary,-0.0053830951435741,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0048557854059569,38659,1,35,0.777767061042524,2,38619,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.0
72,500,0.440294306887516,0.5,-0.031196684959982,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__repeated_lesion__s1__9de2114fbb,-0.0230622706834234,-0.0057647156243013,0.25,False,0.8471491500376398,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2463952151178718,0.3,0,0.42,0.08,280,0.4397534467793152,0.2,20,0.6514569107415961,2.5984847364111493e-18,0.2,plastic,secondary,0.0144618339825952,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0059315781469565,38445,1,35,0.7777456275720165,2,38413,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.6484911216681178
72,500,0.440294306887516,0.5,-0.031196684959982,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__repeated_lesion__s1__9de2114fbb,-0.0230622706834234,-0.0057647156243013,0.25,False,0.8471491500376398,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2463952151178718,0.3,0,0.42,0.08,280,0.4397534467793152,0.2,20,0.6514569107415961,2.5984847364111493e-18,0.2,plastic,secondary,0.0144618339825952,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0059315781469565,38445,1,35,0.7777456275720165,2,38413,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0144618339825952
72,500,0.4689869797773851,0.5,-0.037616702256967,0.0529893369488266,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__repeated_lesion__s1__57d773af3a,-0.0057257073905327,-0.0005298924761528,0.25,False,0.8470435029136805,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2486767077016597,0.3,1,0.42,0.08,280,0.4365345061865263,0.2,20,0.8061258846943258,2.7000402675607504e-18,0.2,plastic,secondary,0.037218058102727,False,alpha_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0028709530820317,0,0,35,0.9894761659807956,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,0.03222669307889185
