geometry,formalism,schedule,task,plasticity,intrinsic_enabled,structural_enabled,gamma,memory_strength,eta_weight,alpha_async,sigma_birth,sigma_survive,diagonal_ablation,activity_late__mean,activity_late__std,activity_late__median,activity_late__count,entropy_late__mean,entropy_late__std,entropy_late__median,entropy_late__count,repair_reference_corr__mean,repair_reference_corr__std,repair_reference_corr__median,repair_reference_corr__count,corr_A_late__mean,corr_A_late__std,corr_A_late__median,corr_A_late__count,corr_B_late__mean,corr_B_late__std,corr_B_late__median,corr_B_late__count,neighbor_pattern_entropy_late__mean,neighbor_pattern_entropy_late__std,neighbor_pattern_entropy_late__median,neighbor_pattern_entropy_late__count,spectral_peak_fraction_late__mean,spectral_peak_fraction_late__std,spectral_peak_fraction_late__median,spectral_peak_fraction_late__count,coherence_late__mean,coherence_late__std,coherence_late__median,coherence_late__count,structural_link_fraction_late__mean,structural_link_fraction_late__std,structural_link_fraction_late__median,structural_link_fraction_late__count,structural_additions_total__mean,structural_additions_total__std,structural_additions_total__median,structural_additions_total__count,structural_removals_total__mean,structural_removals_total__std,structural_removals_total__median,structural_removals_total__count
extended_hex_r2,markov,alpha_async,lesion,plastic,0,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.45188819823037113,0.029179147716333783,0.4358031452572866,3,0.8475787785073775,0.00329458293974901,0.8457820880271468,3,0.0004707574006904668,0.04772625452710265,0.0065240436937798,3,-0.012407628772600099,0.0034783929743398465,-0.0125154651114644,3,-0.012533190535267934,0.01138619156542761,-0.0077846163845158,3,0.7210395765805959,0.10914477160664768,0.701073715302244,3,0.008994780261698766,0.00767018346168434,0.0073598018001586,3,0.0,0.0,0.0,3,0.990651434613626,0.0003331393870609225,0.9908050411522634,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,alpha_async,lesion,plastic,0,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.43081777259996373,0.010877855949854812,0.4316209367590146,3,0.8408271622248971,0.006928130072691839,0.8415604177474139,3,-0.0137289777734615,0.01956447094400338,-0.0243856198838654,3,-0.016205149224138266,0.01158750313732138,-0.0206454090152032,3,-0.010789374263432702,0.009645669808774463,-0.0056160240361419,3,0.5398286884665268,0.14126778355639996,0.5715306052579633,3,0.004448822697600666,0.0013873975236096002,0.0049395319040146,3,0.0,0.0,0.0,3,0.7777456275720165,1.856192995082361e-05,0.7777563443072703,3,38489.666666666664,153.41881675118486,38443.0,3,38455.333333333336,149.51365600951985,38411.0,3
extended_hex_r2,markov,alpha_async,lesion,plastic,1,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.44992305659288273,0.03696260016420056,0.4689729839152011,3,0.8394361373226246,0.012769667900709367,0.846535471113202,3,0.012675951892624932,0.033695056572617954,0.0269598497221004,3,-0.006007191174270667,0.03442193092648084,-0.0061638911609189,3,-0.0005787845494731672,0.01782368498922645,-0.0009627978431165,3,0.6365446966421706,0.30851751433192787,0.8061092532802974,3,0.002835930144656667,0.00025836021910417796,0.0028678540034446,3,0.0,0.0,0.0,3,0.9894261545496114,0.0002541320360630169,0.9894975994513032,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,alpha_async,lesion,plastic,1,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.43062071260699003,0.02000596156121028,0.4295718428713725,3,0.8295653760854895,0.005919606846330288,0.831204367026408,3,-0.004150305543500867,0.04595485961732311,0.0062486032557762,3,0.006933235797791633,0.025899490981547174,0.0212985229140811,3,-0.0043539202806174,0.009437114447599792,-0.0054194657313088,3,0.5637621880353413,0.17275593429900118,0.5938596155433166,3,0.005039290133623866,0.0007135097129808646,0.0047919598683516,3,0.0,0.0,0.0,3,0.7776991883859168,6.187309983589174e-06,0.7777027606310014,3,38559.0,129.78058406402707,38538.0,3,38492.666666666664,131.47369825685135,38458.0,3
extended_hex_r2,markov,alpha_async,repeated_lesion,plastic,0,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.4518809230904941,0.029185608769183035,0.4359163737671888,3,0.8475337350888678,0.0033379047811322913,0.8457985363180521,3,3.753410080403289e-05,0.04773561831726948,0.0052412187434831,3,-0.012428242921151198,0.0036641059046086002,-0.0122014610859811,3,-0.0124199844205708,0.011070784123142802,-0.0077271518895967,3,0.7205520621173326,0.11032779063508472,0.7026711588191688,3,0.008969571694173,0.0077089145793715055,0.0072217396178051,3,0.0,0.0,0.0,3,0.9906621513488799,0.000323342450042205,0.9908157578875172,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,alpha_async,repeated_lesion,plastic,0,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.43101839934965996,0.010615517544930855,0.4333199965214337,3,0.8411193456087886,0.006474564521505748,0.8419321162716471,3,-0.0022676962573644,0.015409858285965439,-0.0053830951435741,3,-0.0134734943355909,0.011325095037268425,-0.0163797102754178,3,-0.008277182961957534,0.007647535357662756,-0.0057647156243013,3,0.540027980794298,0.1421478466960891,0.5886864313611999,3,0.004643516094362934,0.001406263900258581,0.0048557854059569,3,0.0,0.0,0.0,3,0.7777599165523549,1.237461996718636e-05,0.777767061042524,3,38489.666666666664,152.00438590163654,38445.0,3,38454.666666666664,147.96733873843118,38413.0,3
extended_hex_r2,markov,alpha_async,repeated_lesion,plastic,1,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.4498688779106778,0.037129269496008296,0.4689869797773851,3,0.8395359032401446,0.012652078121574125,0.8466357682752463,3,0.012503483698470666,0.03358119684952151,0.0260226170536505,3,-0.0060085492044417675,0.03431619972512218,-0.0057257073905327,3,-0.00038409382390216726,0.017263619246392515,-0.0005298924761528,3,0.6356295903861321,0.31057373095756075,0.8061258846943258,3,0.0028022216316362664,0.00021801002330581215,0.0028709530820317,3,0.0,0.0,0.0,3,0.9894154378143575,0.00029936607375312407,0.9894761659807956,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,alpha_async,repeated_lesion,plastic,1,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.42949462235367014,0.019168319502610734,0.427985665584764,3,0.8294582415259176,0.004872145392201753,0.8304968171842149,3,0.0041371427885718666,0.054276905552151665,0.011670792973704,3,0.007506019754639,0.028027114647918197,0.0204865438861539,3,-0.007944046447065133,0.013956828774379969,-0.0058665451723732,3,0.5545749601373183,0.16769672452972387,0.5824675209964443,3,0.0052176118197329,0.0006271574691253083,0.0054716053715662,3,0.0,0.0,0.0,3,0.7776920438957476,1.0716735253740728e-05,0.7776920438957476,3,38558.333333333336,129.47715371189267,38540.0,3,38492.333333333336,131.15766593429862,38462.0,3
extended_hex_r2,markov,block_async,lesion,plastic,0,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.443318509568894,0.004466679928037123,0.4457512041992413,3,0.9819388955855298,0.01327625731617782,0.9895588017033414,3,-0.028116521039765002,0.03956822303742148,-0.0085642808247682,3,-0.03276794300030394,0.04700755509601707,-0.0081352057825797,3,-0.005149570571646799,0.009287523541618303,-0.004141660743949,3,0.005539738603672967,0.009595108722212246,0.0,3,0.06473927293287643,0.03837053532548505,0.0814603931709219,3,0.0,0.0,0.0,3,0.9901906149977138,0.0016694160383346054,0.9910729595336076,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,block_async,lesion,plastic,0,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.41213683938332607,0.0033023248311252946,0.4135452583783336,3,0.8327376920697432,0.012351809492519532,0.8384648869292166,3,-0.004741256438744433,0.021136794863274345,-0.0070153598081953,3,-0.006937489647650032,0.013683581534284825,-0.0072972364988416,3,0.0025746699153373757,0.004767438371562046,-1.7230695674572747e-05,3,0.20367906112936826,0.009723988338777613,0.2084702739855665,3,0.016950078251582533,0.0036358068566103596,0.0155748169750817,3,0.0,0.0,0.0,3,0.7776491769547326,8.370037804254048e-05,0.7776920438957476,3,39531.666666666664,152.9455240709373,39452.0,3,39431.0,133.0,39366.0,3
extended_hex_r2,markov,block_async,lesion,plastic,1,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.36099389961011435,0.003411884441608672,0.3627563666626222,3,0.7507832025277213,0.000774933436463878,0.7506859966406461,3,0.0328265966926646,0.007544751472014266,0.0314921923013672,3,0.030222675071559665,0.0076812588005271114,0.0319118687179527,3,0.0016153689366836335,0.005018315721881523,-0.0003148466117566,3,0.18232014300991276,0.03013655195509196,0.1665058676945629,3,0.024516574447226002,0.00937653900929231,0.0203671735688834,3,0.0,0.0,0.0,3,0.9547325102880658,0.0011243893217253917,0.9549039780521262,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,block_async,lesion,plastic,1,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.34091571910409973,0.0020810194507259704,0.3397905703907667,3,0.7042483195181773,0.0016638964005556598,0.7049488836431093,3,0.02704814394160233,0.003815960296849895,0.0253251944840736,3,0.029674455116389598,0.0050072355592797905,0.0322078270433935,3,0.0041066127954584005,0.003650196626173378,0.0024293614408552,3,0.34925337685453967,0.009580891498113234,0.3520505642980563,3,0.013166265802787,0.003955596751521169,0.0146482983411716,3,0.0,0.0,0.0,3,0.7764917695473251,3.7123859901583116e-05,0.7765132030178327,3,38044.333333333336,112.5003703697597,38010.0,3,37608.666666666664,98.89556781440479,37575.0,3
extended_hex_r2,markov,block_async,repeated_lesion,plastic,0,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.44333153472634845,0.004460482407561952,0.4457548490410277,3,0.9819119415864205,0.013279764839048679,0.9895714854615192,3,-0.02761606115163033,0.04016207200063217,-0.0086688815751527,3,-0.03271405040873677,0.04667683632318786,-0.0089828010443081,3,-0.004978483833668633,0.009160440835869333,-0.0036393381674847,3,0.005408959004321166,0.009368591811541427,0.0,3,0.06101328463592373,0.03414563945347098,0.0801476837428014,3,0.0,0.0,0.0,3,0.9901834705075445,0.001662752501801011,0.9910729595336076,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,block_async,repeated_lesion,plastic,0,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.41224469884436316,0.0035366199560173586,0.4134832575860157,3,0.8321097218013201,0.012170281168903332,0.8371885052398775,3,-0.0077863676183881,0.013154702935946479,-0.0074392210160685,3,-0.008820884126645766,0.010969953019215366,-0.0095093066285278,3,-0.0005498147872337334,0.004267008410944498,-0.0026115897871381,3,0.20784812793666116,0.03350007318073817,0.2176546266339381,3,0.017280356802066434,0.00232415707600203,0.0161775317323848,3,0.0,0.0,0.0,3,0.7776598936899863,8.506144904405943e-05,0.7776920438957476,3,39534.666666666664,149.43337422856263,39456.0,3,39435.333333333336,131.8496618627938,39371.0,3
extended_hex_r2,markov,block_async,repeated_lesion,plastic,1,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.3612265203799945,0.003493244715320441,0.3629577093198121,3,0.7514241180513487,0.000612234713883486,0.751436295387321,3,0.033015557648845735,0.007290698833461642,0.0310678623456202,3,0.030971420549293634,0.008049163005415055,0.0325877472124787,3,0.0025048168538395667,0.006493802324472378,-0.0008042358359922,3,0.1791236667896929,0.024092706553532364,0.1661602451814365,3,0.023929526960448134,0.010067197912664633,0.0202582279641405,3,0.0,0.0,0.0,3,0.9547217935528121,0.0011170108213988273,0.9548075274348422,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,block_async,repeated_lesion,plastic,1,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.3411282045957002,0.0019750097774078154,0.3405701637815584,3,0.7034519882396203,0.0020127295446722144,0.7045093255196124,3,0.0274752583173674,0.013161468174393494,0.0304122652203703,3,0.028968092018835833,0.008397202699971611,0.0331570936376395,3,0.0034261179489073327,0.004674195003105223,0.004975829521006,3,0.34847974243694585,0.009421077604382704,0.3517718354428188,3,0.012848066661931402,0.0029909393407989357,0.0131318264051948,3,0.0,0.0,0.0,3,0.7764846250571559,1.6370083501101627e-05,0.7764810528120714,3,38079.333333333336,132.7867965323852,38051.0,3,37637.0,114.89560478973945,37613.0,3
extended_hex_r2,markov,synchronous,lesion,plastic,0,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.4171178932535755,0.004070407047595788,0.4178375223797715,3,0.8630451738792516,0.0029363470687669884,0.8619385340564385,3,-0.0037726284503704667,0.019893646924743973,-0.013078980401153,3,-0.0205590592586634,0.010018540918630766,-0.0220991613688768,3,0.021726511343908465,0.024994302144747217,0.0150517991767595,3,1.212719124125446,0.015199250748690643,1.205253361524808,3,0.010150190269216068,0.0009832851476957963,0.0098345320421721,3,0.0,0.0,0.0,3,0.9897583733424783,0.0002690590714684261,0.989690500685871,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,synchronous,lesion,plastic,0,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.41258348413150614,0.008986636546081873,0.4151064812685375,3,0.8587736008409926,0.003790787705250633,0.8598181272238087,3,0.006855125741826333,0.09135197403253896,0.0291753890777487,3,-0.015065735307405235,0.024468066000039024,-0.0133920515780419,3,-0.011668240866417733,0.011901531666221843,-0.0182912132322446,3,1.1611903465573226,0.014344826273190154,1.1677504101890537,3,0.0085051357046924,0.0006673363264503373,0.0081885169824918,3,0.0,0.0,0.0,3,0.7777777777777778,0.0,0.7777777777777778,3,37987.0,153.69775535120868,37996.0,3,37978.333333333336,156.2732649346428,37989.0,3
extended_hex_r2,markov,synchronous,lesion,plastic,1,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.4036023921258814,0.0030039904291272947,0.4032593309439078,3,0.862636115264701,0.0019599425569278264,0.8633528806402943,3,0.01220828316402233,0.045849521981329876,0.016349531595449,3,-0.010685798394958432,0.005303823188577934,-0.0076416807671741,3,-0.0013865255820058,0.01234709368035939,0.0005126196665959,3,1.1873311160179754,0.017717986896660615,1.194002022217611,3,0.009443312898732367,0.0007405294291954607,0.0090736868930937,3,0.0,0.0,0.0,3,0.9903656550068587,0.0002704781692412083,0.9902370541838136,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,synchronous,lesion,plastic,1,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.40835798423152836,0.0051710627471788975,0.4067997509060331,3,0.864866892314807,0.0030633366010751123,0.8643131384883487,3,0.0323504885150846,0.015173961972329704,0.0360182190859796,3,0.0147359714749345,0.021142655457483128,0.0089561563090518,3,0.0029774636606111327,0.02473239396091463,0.0094741363785083,3,1.144080146568178,0.018841286515715462,1.1421674817282286,3,0.009539960766924434,0.0010589803626828507,0.0090108570039813,3,0.0,0.0,0.0,3,0.7777777777777778,0.0,0.7777777777777778,3,38263.333333333336,144.29599209033174,38274.0,3,38252.333333333336,145.85037995608062,38264.0,3
extended_hex_r2,markov,synchronous,repeated_lesion,plastic,0,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.41595518359541866,0.005791861937797362,0.4176294029687258,3,0.8611620340042231,0.0019844756575660336,0.861718389749349,3,-0.04923695100445407,0.026290507281317686,-0.03889207177031,3,-0.03848084799061036,0.009162022717150352,-0.0419837594370582,3,0.0065584513934769,0.02354470036489197,0.0183318622710344,3,1.2081487005798637,0.030685573139684584,1.1949910557770864,3,0.009829216037823699,0.0009560144130888119,0.0095766346056697,3,0.0,0.0,0.0,3,0.9898155292638319,0.00032084647761238027,0.9896690672153636,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,synchronous,repeated_lesion,plastic,0,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.41947450323961905,0.003643515831174447,0.4200515991308665,3,0.8638064328552386,0.0025708741422195273,0.8631052389879684,3,-0.002933327946864364,0.08886721416547316,-0.0042398589729771,3,-0.012430607142360967,0.028416473852429184,-0.0151160955928748,3,-0.0121621381177339,0.018796877850089353,-0.0140300184554349,3,1.131520790203952,0.03270013380862552,1.118236750894881,3,0.0091725107787317,0.001496951239385956,0.0092704405686642,3,0.0,0.0,0.0,3,0.7777742055326932,6.187309983549112e-06,0.7777777777777778,3,37989.666666666664,157.00106156753725,37989.0,3,37981.0,159.50235107985085,37982.0,3
extended_hex_r2,markov,synchronous,repeated_lesion,plastic,1,0,0.68,0.2,0.016,0.5,0.6,0.6,False,0.4056909443128332,0.0028216971031585813,0.4068761310661821,3,0.8626932472984538,0.0030177983365482714,0.8640888421860973,3,-0.0045105564386954,0.02621767925784995,-0.014327568036475,3,-0.011701242006110432,0.01481760144527279,-0.0065186740161922,3,-0.000623238418030133,0.01488027611603473,-0.0082385482050836,3,1.2198164905501026,0.018503282423990138,1.2130326133295153,3,0.010151667569664367,0.00126486404102723,0.0108068532919923,3,0.0,0.0,0.0,3,0.9903692272519433,0.00021036853944242452,0.9902477709190672,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3
extended_hex_r2,markov,synchronous,repeated_lesion,plastic,1,1,0.68,0.2,0.016,0.5,0.6,0.6,False,0.4044812959597312,0.0036627401280654188,0.4032878013110862,3,0.8637385518224111,0.0017240646622000352,0.8634873591773007,3,-0.0035129107361755014,0.04543716654913756,0.0009820519676509,3,0.013890554972531865,0.024914928359566477,0.0272722544511586,3,0.0173003041412261,0.022915272791365644,0.0117889299391205,3,1.1430110291416316,0.022202854275171484,1.1376491366560235,3,0.009382023656249234,0.0008254465868209472,0.0096195352171801,3,0.0,0.0,0.0,3,0.7777777777777778,0.0,0.7777777777777778,3,38258.666666666664,120.13880860626827,38252.0,3,38248.0,121.57713600837947,38243.0,3
