L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum
52,260,0.0834048498402865,0.5,0.5765673846298407,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__alpha_async__lesion__s1__fadb9c8b46,0.3994292558719376,0.393436700606483,0.25,False,0.1554469377832875,0.002,0.006,markov,0.58,square_vn,40,80,0.9,0.0705794005268466,0.3,0,0.42,0.08,160,0.088021120249693,0.2,20,0.7984451291677853,6.6661874719399664e-18,0.2,plastic,sensitivity,0.3918354289761799,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0867326213265656,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.2899788520540518,0.5,0.2076189741956286,0.0,0.125,0.3951170100996851,square_vn__ql__plastic__intr0__struct0__alpha_async__lesion__s2__d8aeafe228,0.1094050206673742,0.1180084814200512,0.25,False,0.6376793851303422,0.002,0.006,ql,0.62,square_vn,40,80,0.9,0.2137501169352703,0.3,0,0.42,0.08,160,0.2488240522903671,0.4,20,1.4719279524743571,3.4821820409800985e-18,0.2,plastic,sensitivity,0.0854703307294392,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0509397669851769,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3952773458235397,0.5,-0.2676969557965522,0.0,0.125,0.3282338797504838,square_moore__ql__plastic__intr0__struct0__alpha_async__lesion__s2__4fbdc48158,0.018778623902038,0.0071479849326023,0.25,False,0.6123812296066004,0.002,0.006,ql,0.58,square_moore,40,80,0.9,0.4166807518549073,0.3,0,0.42,0.08,160,0.3347777752803342,0.3,20,1.4767078875276127,4.323314475051449e-18,0.2,plastic,sensitivity,0.0111974529469577,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0656529628828999,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4402383103789045,0.5,-0.3684186597476739,0.0,0.125,0.2874428605056615,hex_cells__ql__plastic__intr0__struct0__alpha_async__lesion__s1__a2c1da83a1,0.0033627681989124,-0.0066207944706477,0.25,False,0.5861046744514157,0.002,0.006,ql,0.68,hex_cells,40,80,0.9,0.4880394551253273,0.3,0,0.42,0.08,160,0.3779013586535579,0.2,20,1.2977119867887092,2.5493500389443506e-18,0.2,plastic,sensitivity,-0.0040691883914358,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.016129387611066,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.2812834891568729,0.5,0.2108641968525676,0.0,0.125,0.4049937738517529,honeycomb__ql__plastic__intr0__struct0__alpha_async__lesion__s1__1dddb5424c,0.1335733450186053,0.1203404481621212,0.25,False,0.627053025389043,0.002,0.006,ql,0.58,honeycomb,40,80,0.9,0.2078513470929164,0.3,0,0.42,0.08,160,0.2458087557380839,0.4,20,1.4785619348818422,1.6237780130956699e-18,0.2,plastic,sensitivity,0.1026209173120895,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.1160426795662357,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.4355240083564828,0.5,0.1592220433356012,0.0,0.125,0.0,extended_moore_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__ab41685adb,0.0299467654975008,0.0408935490516372,0.25,False,0.7762459877767487,0.002,0.006,markov,0.68,extended_moore_r2,40,80,0.9,0.2406246539306115,0.3,0,0.42,0.08,160,0.3345224505739608,0.3,20,0.8874360016267779,4.602547446786103e-18,0.2,plastic,sensitivity,-0.0045513409982156,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0241915488313409,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.454220019431827,0.5,0.0460328605171373,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__1791f596ad,0.0152581015299275,0.0321684502102476,0.25,False,0.8638282817898055,0.002,0.006,markov,0.62,extended_hex_r2,40,80,0.9,0.2130113156374289,0.3,0,0.42,0.08,160,0.3582251704902773,0.2,20,0.7731912810672359,3.595143053800551e-18,0.2,plastic,sensitivity,0.0009145309267683,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0117267224904615,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.3705966531710516,0.5,-0.0937873993121884,0.0,0.125,0.0,honeycomb_nnn__markov__plastic__intr0__struct0__alpha_async__lesion__s1__233d860296,0.0373738580366062,0.0376160458547848,0.25,False,0.4049393889611191,0.002,0.006,markov,0.68,honeycomb_nnn,40,80,0.9,0.4317490138125653,0.3,0,0.42,0.08,160,0.2958528616350738,0.4,20,1.4443274459319415,4.8950873771790165e-18,0.2,plastic,sensitivity,0.0086779961216822,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0495881806278982,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.0815050978095529,0.5,0.577631020619321,0.0,0.125,0.0,square_vn__markov__plastic__intr0__struct0__alpha_async__lesion__s1__af33cb8b68,0.3945668913601274,0.4099479541327842,0.25,False,0.1512224245640694,0.002,0.01,markov,0.58,square_vn,40,80,0.9,0.0692886661203665,0.3,0,0.42,0.08,160,0.0867986921268329,0.2,20,0.7821841319603915,6.5027861323619456e-18,0.2,plastic,sensitivity,0.3524890213875334,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.091010029347116,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
52,260,0.2932147603534636,0.5,0.2022771739861749,0.0,0.125,0.3927114412572897,square_vn__ql__plastic__intr0__struct0__alpha_async__lesion__s2__7bdb3f187d,0.1248868239266287,0.0959152736274792,0.25,False,0.6425344658139492,0.002,0.01,ql,0.62,square_vn,40,80,0.9,0.2162073225000245,0.3,0,0.42,0.08,160,0.2510280700628993,0.4,20,1.4642138285132942,2.8386116443013097e-18,0.2,plastic,sensitivity,0.0883459532145429,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0545413023697434,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0
