L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,repair_reference_corr,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,selection_role,selection_score
52,260,0.4206224305353352,0.5,0.0834711162792139,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__59bfb77eb3,0.0039759599270952,0.0092196207954282,0.25,False,0.8695927835205546,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1839293089457725,0.3,0,0.42,0.08,160,0.3493649199253726,0.2,20,0.5407079299248586,3.029320650961416e-18,0.2,plastic,sensitivity,-0.0309970816658256,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.015618395979251,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.4142135623730887
52,260,0.4397129839329608,0.5,0.1155061013114083,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__6a9c061b6d,0.029043719595333,0.0401424973313014,0.25,False,0.8772844017069389,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1829258927458633,0.3,0,0.42,0.08,160,0.3485624693766399,0.2,20,0.7621242928564788,3.6719774813267375e-18,0.2,plastic,sensitivity,0.0009464552408638,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0246923427692091,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.7497781214718742
52,260,0.4397129839329608,0.5,0.1155061013114083,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__6a9c061b6d,0.029043719595333,0.0401424973313014,0.25,False,0.8772844017069389,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1829258927458633,0.3,0,0.42,0.08,160,0.3485624693766399,0.2,20,0.7621242928564788,3.6719774813267375e-18,0.2,plastic,sensitivity,0.0009464552408638,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0246923427692091,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,0.0009464552408638
52,260,0.4278974047261954,0.5,0.1277411863585021,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__03c8a19260,0.042987779085769,0.0347298216457966,0.25,False,0.879255551471417,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1743049276843416,0.3,0,0.42,0.08,160,0.3452787409316932,0.2,20,0.6790749034881701,2.9967433738778964e-18,0.2,plastic,sensitivity,-0.0047493422601756,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0313491705491078,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.414213562373092
52,260,0.4278974047261954,0.5,0.1277411863585021,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__03c8a19260,0.042987779085769,0.0347298216457966,0.25,False,0.879255551471417,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1743049276843416,0.3,0,0.42,0.08,160,0.3452787409316932,0.2,20,0.6790749034881701,2.9967433738778964e-18,0.2,plastic,sensitivity,-0.0047493422601756,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0313491705491078,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.6634003182136162
52,260,0.4278974047261954,0.5,0.1277411863585021,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__03c8a19260,0.042987779085769,0.0347298216457966,0.25,False,0.879255551471417,0.002,0.01,markov,0.58,extended_hex_r2,40,80,0.9,0.1743049276843416,0.3,0,0.42,0.08,160,0.3452787409316932,0.2,20,0.6790749034881701,2.9967433738778964e-18,0.2,plastic,sensitivity,-0.0047493422601756,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0313491705491078,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,-0.0047493422601756
52,260,0.4135229800518182,0.5,0.1173617388261975,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__a9d3ebfe5d,0.0279527526224081,0.009923339101161,0.25,False,0.8593650013165922,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1806158749781793,0.3,0,0.42,0.08,160,0.3408038727125594,0.2,20,0.5448868687733017,4.008452779359893e-18,0.2,plastic,sensitivity,-0.0344581154045507,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0195068778695315,0,0,40,0.9995479947403024,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.414213562373092
52,260,0.4131250231961203,0.5,0.1252020322773273,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__416b33b3f1,0.0156891362244517,0.0135916557986452,0.25,False,0.8536347773896747,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1829447296040367,0.3,0,0.42,0.08,160,0.3393272554720953,0.2,20,0.593478513547013,3.722316612195516e-18,0.2,plastic,sensitivity,-0.0400773276511019,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0191786083219416,0,0,40,0.9996096318211702,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,visual,0.5838892093860422
52,260,0.4135229800518182,0.5,0.1173617388261975,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s2__a9d3ebfe5d,0.0279527526224081,0.009923339101161,0.25,False,0.8593650013165922,0.002,0.016,markov,0.58,extended_hex_r2,40,80,0.9,0.1806158749781793,0.3,0,0.42,0.08,160,0.3408038727125594,0.2,20,0.5448868687733017,4.008452779359893e-18,0.2,plastic,sensitivity,-0.0344581154045507,False,alpha_async,40,150,210,2,-1,1.0,0.6,0.6,80,0.0195068778695315,0,0,40,0.9995479947403024,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,high_repair,-0.0344581154045507
52,260,0.4188464449526105,0.5,0.1023206543886801,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s1__b22dce34cb,0.0071872735597951,0.0115790849483776,0.25,False,0.8645103965980105,0.002,0.006,markov,0.58,extended_hex_r2,40,80,0.9,0.1832653296909892,0.3,0,0.42,0.08,160,0.346478233556515,0.3,20,0.5602348286135904,3.495503907989487e-18,0.2,plastic,sensitivity,-0.0329325769665572,False,alpha_async,40,150,210,1,-1,1.0,0.6,0.6,80,0.0163342588833174,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,median,1.4142135623730876
