L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,repair_reference_corr
56,320,0.40312240946771,0.5,-0.2449973761800883,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__sequential__baseline__s1__c27379a411,-0.0031057395937439,-0.006736863414798,0.25,False,0.7033772461664989,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.3674558752501123,0.3,0,0.42,0.08,210,0.4054339398209796,0.2,20,1.4732742458056804,3.3405296295771e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0037329095376482,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4649813041456852,0.5,-0.426790096039068,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__sequential__baseline__s1__6cdbdaaf57,-0.0036025536917052,0.0033420478268307,0.25,False,0.4908834590816402,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.5548607626450472,0.3,0,0.42,0.08,210,0.4660197503417485,0.2,20,1.295078342356858,1.5807281070203482e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0438071612563375,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4550846952537393,0.5,-0.2874012960342016,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__baseline__s1__8ac681e022,0.0065353845750771,-0.0087964197747449,0.25,False,0.4054243656996801,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.518467479569939,0.3,0,0.42,0.08,210,0.4550629356646333,0.2,20,0.9801766639088444,7.228983375911331e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.1582247073947054,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4796626222898826,0.5,-0.3201534635925633,0.0,0.125,0.0,honeycomb_nnn__markov__fixed__intr0__struct0__sequential__baseline__s1__fa73378c4b,0.0074887042229249,0.0029376375807786,0.25,False,0.1517327232851502,0.002,0.016,markov,0.68,honeycomb_nnn,40,100,0.9,0.6252354014753327,0.3,0,0.42,0.08,210,0.4793300821529438,0.2,20,0.9987342176462516,2.756525570272301e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0420248277018141,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4017218267795376,0.5,-0.2391212219754179,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__sequential__baseline__s2__989fc10a72,-0.0042848646546005,0.0033680972716816,0.25,False,0.7044455136544666,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.3651468952610641,0.3,0,0.42,0.08,210,0.4044209335690068,0.2,20,1.477414436868158,2.994395877660589e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0035705205255759,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4659022588031019,0.5,-0.4247228446288673,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__sequential__baseline__s2__bf684aa436,0.0030694899267546,-0.0034827827094175,0.25,False,0.4869949661249818,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.556939336459895,0.3,0,0.42,0.08,210,0.4653076109176309,0.2,20,1.3062330554538863,1.898529102711753e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0442414298903975,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4546414695736936,0.5,-0.287232618081579,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__baseline__s2__b1934f622a,-0.0044005165960108,0.0010933388318348,0.25,False,0.4231391801987251,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5149594284100018,0.3,0,0.42,0.08,210,0.4545915868714557,0.2,20,0.974139023720668,9.537247352306239e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1467401861440865,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.482421703895952,0.5,-0.3222123792952642,0.0,0.125,0.0,honeycomb_nnn__markov__fixed__intr0__struct0__sequential__baseline__s2__c604414016,-0.0042421569416883,-0.0020915373519442,0.25,False,0.1351089914804204,0.002,0.016,markov,0.68,honeycomb_nnn,40,100,0.9,0.6292599518605876,0.3,0,0.42,0.08,210,0.4823689262181385,0.2,20,0.998955164360408,3.584126549376633e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0514029721990751,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.406594609658881,0.5,-0.2460082232107887,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__sequential__baseline__s3__ceb386f284,-0.003259950982786,-0.0019417983415235,0.25,False,0.7065668673158457,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.3671151741508687,0.3,0,0.42,0.08,210,0.404986752337269,0.2,20,1.473046033799725,4.1069887407626425e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0046130168629888,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4667503617153343,0.5,-0.4271287186975641,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__sequential__baseline__s3__30fbab8757,-0.001321514151836,-0.0081098808180834,0.25,False,0.4870186599964976,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.5571890981277327,0.3,0,0.42,0.08,210,0.466592315339382,0.2,20,1.2853880559537263,2.5564512788703695e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0354041852009822,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.4537435976351856,0.5,-0.2889756090510789,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__baseline__s3__ed3f5ac8de,0.0121292951048876,-0.0010591022897892,0.25,False,0.4535397895566276,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.510372560913003,0.3,0,0.42,0.08,210,0.4536631196120587,0.2,20,0.9664758985257764,1.4011304932743485e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.4197266383463119,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.47941653363171,0.5,-0.3192096432716819,0.0,0.125,0.0,honeycomb_nnn__markov__fixed__intr0__struct0__sequential__baseline__s3__85a7ce9551,-0.0081355939926274,-0.0031020440828836,0.25,False,0.1559874620197095,0.002,0.016,markov,0.68,honeycomb_nnn,40,100,0.9,0.6228711639147104,0.3,0,0.42,0.08,210,0.4794652186552314,0.2,20,0.9984917171850508,2.8872015765515468e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.0268748501278487,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,
56,320,0.1920421946990167,0.5,0.4063709486798064,0.0,0.125,0.0,square_vn__markov__fixed__intr0__struct0__sequential__lesion__s1__f869e9466b,0.189039101452874,0.174545464735125,0.25,False,0.3385133519896526,0.002,0.016,markov,0.68,square_vn,40,100,0.9,0.1743907744512217,0.3,0,0.42,0.08,210,0.1817867334945266,0.2,20,1.3142153823714529,2.3557405182648312e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0763006182802366,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.1530210011673483
56,320,0.4634093402380565,0.5,-0.4185085269613819,0.0,0.125,0.0,hex_cells__markov__fixed__intr0__struct0__sequential__lesion__s1__f80ba65cb1,0.0088934150774688,-0.0051590744270495,0.25,False,0.4965914333100785,0.002,0.016,markov,0.68,hex_cells,40,100,0.9,0.5490805029937468,0.3,0,0.42,0.08,210,0.4571385414637864,0.2,20,1.2826056329552886,1.901260864316634e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0187683254025268,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.006668666535545
56,320,0.4569619798159935,0.5,-0.2932676677784125,0.0,0.125,0.0,extended_moore_r2__markov__fixed__intr0__struct0__sequential__lesion__s1__b595fec032,0.0213282354129841,-0.0056474187622342,0.25,False,0.3694791715606606,0.002,0.016,markov,0.68,extended_moore_r2,40,100,0.9,0.5223310842908998,0.3,0,0.42,0.08,210,0.4541160102497647,0.2,20,0.9852281360342516,8.881834718606135e-19,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.4903775140958391,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0213166235057323
56,320,0.4836929816645944,0.5,-0.3244127160349716,0.0,0.125,0.0,honeycomb_nnn__markov__fixed__intr0__struct0__sequential__lesion__s1__8edb0e92d9,-0.0088785162363813,0.0073028910741315,0.25,False,0.122689706941272,0.002,0.016,markov,0.68,honeycomb_nnn,40,100,0.9,0.634686994191255,0.3,0,0.42,0.08,210,0.4792070005127603,0.2,20,0.999379087500816,2.8655219154477473e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.0385482612696829,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.008878730490614
