L,T,activity_late,alpha_async,autocorr_late,bias_mean_late,block_fraction,coherence_late,config_id,corr_A_late,corr_B_late,dephase,diagonal_ablation,entropy_late,eta_intrinsic,eta_weight,formalism,gamma,geometry,imprint_duration,imprint_start,imprint_strength,interface_density_late,intrinsic_bias_limit,intrinsic_enabled,intrinsic_target_activity,lesion_fraction,lesion_time,memory_mean_late,memory_strength,metric_stride,neighbor_pattern_entropy_late,orientation_anisotropy_late,p0,plasticity,profile,save_dense,schedule,second_imprint_duration,second_imprint_start,second_lesion_time,seed,sensitivity_point,sequential_events_per_sweep,sigma_birth,sigma_survive,snapshot_every,spectral_peak_fraction_late,structural_additions_total,structural_enabled,structural_interval,structural_link_fraction_late,structural_min_degree,structural_removals_total,structural_rewire_probability,structural_swap_tolerance,structural_target_fraction,structural_utility_tau,task,tau_memory,theta_input,theta_memory,theta_phase,weight_decay,weight_sum,repair_reference_corr,selection_role,selection_score
56,320,0.4518201267355317,0.5,-0.2385994779995044,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__baseline__s1__90619871bd,-0.0025660808486671,0.0013727740517711,0.25,False,0.5713382790565786,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.4677165225824944,0.3,0,0.42,0.08,210,0.4517472882472607,0.2,20,0.9490235939664948,9.132777998139393e-19,0.2,fixed,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.4373879794673272,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,median,0.2745937573449935
56,320,0.4508995854287723,0.5,-0.2373145016644434,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__baseline__s2__42075d446b,0.0006816459399643,0.0007944948698398,0.25,False,0.6136725809062006,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.443498485128369,0.3,0,0.42,0.08,210,0.451325077051694,0.2,20,0.933293772103762,1.3663684394273293e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.3012711046408643,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,visual,0.7826582197833298
56,320,0.4459028635701677,0.5,-0.2321208395610629,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__baseline__s2__5d456aecc7,0.0081840226520012,0.0148450672859938,0.25,False,0.987119307016868,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.0493626641726732,0.3,0,0.42,0.08,210,0.4459491681109684,0.2,20,0.0,0.0,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1405490666918609,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,median,1.3218216278153978
56,320,0.4466042710451399,0.5,-0.2333594920996608,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__baseline__s1__94d5367564,-0.0034490753342125,-0.0046414677338303,0.25,False,0.9887499231068188,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.0385661178408002,0.3,0,0.42,0.08,210,0.4466321644005367,0.2,20,0.0,0.0,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.1150322899548679,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,baseline,30.0,0.45,0.2,0.1,0.002,8.0,,visual,-0.05751614497743395
56,320,0.4507058220384364,0.5,-0.2368255704046326,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__lesion__s3__cd78fd31b1,-0.0079398243763178,0.0028705561004728,0.25,False,0.6225850228901204,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.4380659259550568,0.3,0,0.42,0.08,210,0.4481458764559816,0.2,20,0.9266057184474972,1.619457269831998e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.1634804848314733,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0025464647163377,median,0.6101728920136341
56,320,0.4499565679062073,0.5,-0.2353057015856008,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__lesion__s2__1d56a74e29,-0.0027276394842296,-0.0036162087554842,0.25,False,0.6540541227020245,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.4193267682079893,0.3,0,0.42,0.08,210,0.4479006423167502,0.2,20,0.9124793485672784,1.6825995364150023e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1072191613209668,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.003210991935711,visual,0.858869767906795
56,320,0.4499565679062073,0.5,-0.2353057015856008,0.0,0.125,0.0,extended_hex_r2__markov__fixed__intr0__struct0__sequential__lesion__s2__1d56a74e29,-0.0027276394842296,-0.0036162087554842,0.25,False,0.6540541227020245,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.4193267682079893,0.3,0,0.42,0.08,210,0.4479006423167502,0.2,20,0.9124793485672784,1.6825995364150023e-18,0.2,fixed,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.1072191613209668,0,0,40,1.0,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.003210991935711,high_repair,0.003210991935711
56,320,0.4441260847254275,0.5,-0.22814062655406,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__lesion__s2__29958f5f3d,0.0049343048795466,-0.0079859910992482,0.25,False,0.9711466034040168,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.1001130159285694,0.3,0,0.42,0.08,210,0.4415214555356466,0.2,20,0.0047008862276524,1.1764887211305998e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,2,-1,1.0,0.6,0.6,80,0.0940239148684119,0,0,40,0.9992736678004536,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0018135243528518,median,0.9689862651899703
56,320,0.4447236515389615,0.5,-0.2304965935992054,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__lesion__s3__aefe3b18be,-0.0064429665711233,-0.0068292236800156,0.25,False,0.966401049560242,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.1081234062871843,0.3,0,0.42,0.08,210,0.4421736277939241,0.2,20,0.0690018080677126,1.448363969556751e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,3,-1,1.0,0.6,0.6,80,0.1619165051944139,0,0,40,0.9991673752834468,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,-0.0048729275751071,visual,-0.011956444529494348
56,320,0.4458968859280649,0.5,-0.2281583591805994,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__sequential__lesion__s1__7de403d095,0.005531525492747,0.0065685728197741,0.25,False,0.974306389730126,0.002,0.016,markov,0.68,extended_hex_r2,40,100,0.9,0.0880078964698744,0.3,0,0.42,0.08,210,0.4430342852546978,0.2,20,0.017014029845607,1.0550163066808976e-18,0.2,plastic,sequential_exact,False,sequential,40,180,280,1,-1,1.0,0.6,0.6,80,0.1151245259984582,0,0,40,0.9991850907029478,2,0,0.25,0.01,0.75,50.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,0.0063953974916733,high_repair,0.0063953974916733
